tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,1493,0,live,CTLA4,"ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12",cytotoxic T-lymphocyte associated protein 4,cytotoxic T-lymphocyte protein 4|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated serine esterase-4|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4,2q33.2,2,NC_000002.12,203867771,203873965,plus,4,123890
9606,Homo sapiens,3558,0,live,IL2,"IL-2, TCGF, lymphokine",interleukin 2,interleukin-2|T cell growth factor|aldesleukin|involved in regulation of T-cell clonal expansion,4q27,4,NC_000004.12,122451470,122456725,minus,4,147680
9606,Homo sapiens,59067,0,live,IL21,"CVID11, IL-21, Za11",interleukin 21,interleukin-21,4q27,4,NC_000004.12,122610108,122621066,minus,5,605384
9606,Homo sapiens,356,0,live,FASLG,"ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A",Fas ligand,"tumor necrosis factor ligand superfamily member 6|CD95 ligand|Fas ligand (TNF superfamily, member 6)|apoptosis (APO-1) antigen ligand 1|apoptosis antigen ligand|fas antigen ligand|mutant tumor necrosis factor family member 6|tumor necrosis factor ligand 1A",1q24.3,1,NC_000001.11,172659103,172666876,plus,4,134638
9606,Homo sapiens,729230,0,live,CCR2,"CC-CKR-2, CCR-2A, CCR2B, CD192, CKR2, CKR2A, CKR2B, CMKBR2, MCP-1-R, CCR2",C-C motif chemokine receptor 2,C-C chemokine receptor type 2|MCP-1 receptor|chemokine (C-C motif) receptor 2|monocyte chemoattractant protein 1 receptor|monocyte chemotactic protein 1 receptor,3p21.31,3,NC_000003.12,46354111,46360940,plus,3,601267
9606,Homo sapiens,3117,0,live,HLA-DQA1,"CELIAC1, DQ-A1, DQA1, HLA-DQA","major histocompatibility complex, class II, DQ alpha 1","HLA class II histocompatibility antigen, DQ alpha 1 chain|DC-1 alpha chain|DC-alpha|HLA class II histocompatibility antigen DQ alpha chain|HLA-DCA|MHC HLA-DQ alpha|MHC class II DQ alpha chain|MHC class II DQA1|MHC class II HLA-DQ-alpha-1|MHC class II antigen DQA1|MHC class II protein|truncated MHC class II antigen",6p21.32,6,NC_000006.12,32637406,32654846,plus,6,146880
9606,Homo sapiens,1232,0,live,CCR3,"C C CKR3, CC-CKR-3, CD193, CKR 3, CKR3, CMKBR3",C-C motif chemokine receptor 3,C-C chemokine receptor type 3|C-C CKR-3|CC chemokine receptor 3|CCR-3|b-chemokine receptor|chemokine (C-C motif) receptor 3|eosinophil CC chemokine receptor 3|eosinophil eotaxin receptor,3p21.31,3,NC_000003.12,46210699,46266706,plus,6,601268
9606,Homo sapiens,6311,0,live,ATXN2,"ATX2, SCA2, TNRC13",ataxin 2,ataxin-2|spinocerebellar ataxia type 2 protein|trinucleotide repeat-containing gene 13 protein,12q24.12,12,NC_000012.12,111452214,111599673,minus,27,601517
9606,Homo sapiens,3119,0,live,HLA-DQB1,"CELIAC1, HLA-DQB, IDDM1","major histocompatibility complex, class II, DQ beta 1","HLA class II histocompatibility antigen, DQ beta 1 chain|MHC class II DQ beta chain|MHC class II HLA-DQ beta glycoprotein|MHC class II antigen DQB1|MHC class II antigen HLA-DQ-beta-1",6p21.32,6,NC_000006.12,32659467,32666657,minus,6,604305
9606,Homo sapiens,7292,0,live,TNFSF4,"CD134L, CD252, GP34, OX-40L, OX4OL, TNLG2B, TXGP1",TNF superfamily member 4,tumor necrosis factor ligand superfamily member 4|CD134 ligand|OX40 antigen ligand|glycoprotein Gp34|tax-transcriptionally activated glycoprotein 1 (34kD)|tumor necrosis factor (ligand) superfamily member 4|tumor necrosis factor ligand 2B|tumor necrosis factor superfamily member 4,1q25.1,1,NC_000001.11,173183729,173462208,minus,13,603594
9606,Homo sapiens,10019,0,live,SH2B3,"IDDM20, LNK",SH2B adaptor protein 3,SH2B adapter protein 3|lymphocyte-specific adapter protein Lnk|signal transduction protein Lnk|truncated SH2B3,12q24.12,12,NC_000012.12,111405107,111451623,plus,12,605093
9606,Homo sapiens,60468,0,live,BACH2,"BTBD25, IMD60",BTB domain and CNC homolog 2,"transcription regulator protein BACH2|BTB and CNC homolog 2|BTB and CNC homology 1, basic leucine zipper transcription factor 2",6q15,6,NC_000006.12,89926528,90296843,minus,14,605394
9606,Homo sapiens,3592,0,live,IL12A,"CLMF, IL-12A, NFSK, NKSF1, P35",interleukin 12A,"interleukin-12 subunit alpha|CLMF p35|IL-12, subunit p35|IL35 subunit|NF cell stimulatory factor chain 1|NK cell stimulatory factor chain 1|cytotoxic lymphocyte maturation factor 1, p35|cytotoxic lymphocyte maturation factor 35 kDa subunit|interleukin 12, p35|interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)|interleukin-12 alpha chain",3q25.33,3,NC_000003.12,159988835,159996019,plus,7,161560
9606,Homo sapiens,7124,0,live,TNF,"DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF",tumor necrosis factor,"tumor necrosis factor|APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha",6p21.33,6,NC_000006.12,31575565,31578336,plus,4,191160
9606,Homo sapiens,1234,0,live,CCR5,"CC-CKR-5, CCCKR5, CCR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22",C-C motif chemokine receptor 5,C-C chemokine receptor type 5|C-C motif chemokine receptor 5 A159A|HIV-1 fusion coreceptor|chemokine (C-C motif) receptor 5|chemokine receptor CCR5|chemokine recptor CCR5 Delta32|chemr13,3p21.31,3,NC_000003.12,46370142,46376206,plus,3,601373
9606,Homo sapiens,9173,0,live,IL1RL1,"DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1",interleukin 1 receptor like 1,interleukin-1 receptor-like 1|growth stimulation-expressed|homolog of mouse growth stimulation-expressed|interleukin 1 receptor-related protein,2q12.1,2,NC_000002.12,102311529,102352367,plus,13,601203
9606,Homo sapiens,919,0,live,CD247,"CD3-ZETA, CD3H, CD3Q, CD3Z, IMD25, T3Z, TCRZ",CD247 molecule,"T-cell surface glycoprotein CD3 zeta chain|CD247 antigen, zeta subunit|CD3Z antigen, zeta polypeptide (TiT3 complex)|CD3zeta chain|T-cell antigen receptor complex, zeta subunit of CD3|T-cell receptor T3 zeta chain|TCR zeta chain",1q24.2,1,NC_000001.11,167430640,167518542,minus,10,186780
9606,Homo sapiens,117289,0,live,TAGAP,"ARHGAP47, FKSG15, IDDM211, TAGAP",T cell activation RhoGTPase activating protein,T-cell activation Rho GTPase-activating protein,6q25.3,6,NC_000006.12,159034481,159044991,minus,10,609667
9606,Homo sapiens,8995,0,live,TNFSF18,"AITRL, GITRL, TL6, TNLG2A, hGITRL",TNF superfamily member 18,"tumor necrosis factor ligand superfamily member 18|AITR ligand|GITR ligand|activation-inducible TNF-related ligand|glucocorticoid-induced TNF-related ligand|glucocorticoid-induced TNFR-related protein ligand|tumor necrosis factor (ligand) superfamily, member 18|tumor necrosis factor ligand 2A|tumor necrosis factor superfamily member 18",1q25.1,1,NC_000001.11,173039202,173050941,minus,3,603898
9606,Homo sapiens,84162,0,live,KIAA1109,"ALKKUCS, FSA, Tweek",KIAA1109,transmembrane protein KIAA1109|fragile site-associated protein,4q27,4,NC_000004.12,122152331,122362752,plus,94,611565
9606,Homo sapiens,5588,0,live,PRKCQ,"PRKCT, nPKC-theta",protein kinase C theta,protein kinase C theta type,10p15.1,10,NC_000010.11,6393038,6580646,minus,23,600448
9606,Homo sapiens,7332,0,live,UBE2L3,"E2-F1, L-UBC, UBCH7, UbcM4",ubiquitin conjugating enzyme E2 L3,ubiquitin-conjugating enzyme E2 L3|E2 ubiquitin-conjugating enzyme L3|ubiquitin carrier protein L3|ubiquitin conjugating enzyme E2L 3|ubiquitin-conjugating enzyme E2-F1|ubiquitin-conjugating enzyme UBCH7|ubiquitin-protein ligase L3,22q11.21,22,NC_000022.11,21549447,21624034,plus,6,603721
9606,Homo sapiens,3630,0,live,INS,"IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10, PNDM4",insulin,insulin|preproinsulin|proinsulin,11p15.5,11,NC_000011.10,2159779,2161209,minus,3,176730
9606,Homo sapiens,5771,0,live,PTPN2,"PTN2, PTPT, TC-PTP, TCELLPTP, TCPTP",protein tyrosine phosphatase non-receptor type 2,tyrosine-protein phosphatase non-receptor type 2|T-cell protein tyrosine phosphatase,18p11.21,18,NC_000018.10,12785478,12884351,minus,16,176887
9606,Homo sapiens,1230,0,live,CCR1,"CD191, CKR-1, CKR1, CMKBR1, HM145, MIP1aR, SCYAR1",C-C motif chemokine receptor 1,C-C chemokine receptor type 1|C-C CKR-1|CC-CKR-1|CCR-1|LD78 receptor|MIP-1alpha-R|RANTES receptor|RANTES-R|chemokine (C-C motif) receptor 1|macrophage inflammatory protein 1-alpha receptor,3p21.31,3,NC_000003.12,46201711,46208313,minus,2,601159
9606,Homo sapiens,5209,0,live,PFKFB3,"IPFK2, PFK2, iPFK-2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3|6-phosphofructo-2-kinase/ fructose-2,6-bisphosphatase|6PF-2-K/Fru-2,6-P2ase 3|6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme|PFK/FBPase 3|fructose-6-phosphate,2-kinase/fructose-2, 6-bisphosphatase|inducible 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase|renal carcinoma antigen NY-REN-56",10p15.1,10,NC_000010.11,6144918,6254648,plus,20,605319
9606,Homo sapiens,3481,0,live,IGF2,"C11orf43, GRDF, IGF-II, PP9974, SRS3",insulin like growth factor 2,insulin-like growth factor II|T3M-11-derived growth factor|insulin-like growth factor 2 (somatomedin A)|insulin-like growth factor type 2|preptin,11p15.5,11,NC_000011.10,2129112,2149603,minus,9,147470
9606,Homo sapiens,3458,0,live,IFNG,"IFG, IFI, IMD69",interferon gamma,interferon gamma|IFN-gamma|immune interferon,12q15,12,NC_000012.12,68154768,68159740,minus,4,147570
9606,Homo sapiens,3123,0,live,HLA-DRB1,"DRB1, HLA-DR1B, HLA-DRB, SS1","major histocompatibility complex, class II, DR beta 1","major histocompatibility complex, class II, DR beta 1 precursor|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1",6p21.32,6,NC_000006.12,32578775,32589848,minus,6,142857
9606,Homo sapiens,3569,0,live,IL6,"BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6",interleukin 6,interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2,7p15.3,7,NC_000007.14,22725889,22732002,plus,6,147620
9606,Homo sapiens,317782,0,live,CELIAC2,"CD, GSE",celiac disease 2,,5q31-q33,5,,,,,,609754
9606,Homo sapiens,31,0,live,ACACA,"ACACD, ACC, ACC1, ACCA, ACACA",acetyl-CoA carboxylase alpha,acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha,17q12,17,NC_000017.11,37084992,37406836,minus,63,200350
9606,Homo sapiens,354,0,live,KLK3,"APS, KLK2A1, PSA, hK3",kallikrein related peptidase 3,prostate-specific antigen|P-30 antigen|gamma-seminoprotein|kallikrein-3|semenogelase|seminin,19q13.33,19,NC_000019.10,50854915,50860764,plus,5,176820
9606,Homo sapiens,7099,0,live,TLR4,"ARMD10, CD284, TLR-4, TOLL",toll like receptor 4,toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein,9q33.1,9,NC_000009.12,117704403,117724735,plus,4,603030
9606,Homo sapiens,3586,0,live,IL10,"CSIF, GVHDS, IL-10A, TGIF, IL10",interleukin 10,interleukin-10|T-cell growth inhibitory factor|cytokine synthesis inhibitory factor,1q32.1,1,NC_000001.11,206767602,206772494,minus,7,124092
9606,Homo sapiens,7128,0,live,TNFAIP3,"A20, AISBL, OTUD7C, TNFA1P2",TNF alpha induced protein 3,"tumor necrosis factor alpha-induced protein 3|OTU domain-containing protein 7C|putative DNA-binding protein A20|tumor necrosis factor inducible protein A20|tumor necrosis factor, alpha induced protein 3|zinc finger protein A20",6q23.3,6,NC_000006.12,137866317,137883312,plus,13,191163
9606,Homo sapiens,7040,0,live,TGFB1,"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta",transforming growth factor beta 1,transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1,19q13.2,19,NC_000019.10,41330323,41353922,minus,7,190180
9606,Homo sapiens,4524,0,live,MTHFR,,methylenetetrahydrofolate reductase,"methylenetetrahydrofolate reductase|5,10-methylenetetrahydrofolate reductase (NADPH)|methylenetetrahydrofolate reductase (NAD(P)H)",1p36.22,1,NC_000001.11,11785723,11806103,minus,12,607093
9606,Homo sapiens,11315,0,live,PARK7,"DJ-1, DJ1, GATD2, HEL-S-67p",Parkinsonism associated deglycase,"Parkinson disease protein 7|Parkinson disease (autosomal recessive, early onset) 7|epididymis secretory sperm binding protein Li 67p|maillard deglycase|oncogene DJ1|parkinson protein 7|protein DJ-1|protein deglycase DJ-1|protein/nucleic acid deglycase DJ-1",1p36.23,1,NC_000001.11,7961711,7985505,plus,8,602533
9606,Homo sapiens,283120,0,live,H19,"ASM, ASM1, BWS, D11S813E, LINC00008, MIR675HG, NCRNA00008, WT2",H19 imprinted maternally expressed transcript,"H19, imprinted maternally expressed transcript (non-protein coding)|H19, imprinted maternally expressed untranslated mRNA|MIR675 host|adult skeletal muscle|long intergenic non-protein coding RNA 8",11p15.5,11,NC_000011.10,1995176,2001466,minus,6,103280
9606,Homo sapiens,4026,0,live,LPP,,LIM domain containing preferred translocation partner in lipoma,lipoma-preferred partner|LIM protein|lipoma preferred partner,3q27.3-q28,3,NC_000003.12,188152152,188890671,plus,25,600700
9606,Homo sapiens,1019,0,live,CDK4,"CMM3, PSK-J3",cyclin dependent kinase 4,cyclin-dependent kinase 4|cell division protein kinase 4,12q14.1,12,NC_000012.12,57747727,57752310,minus,8,123829
9606,Homo sapiens,864,0,live,RUNX3,"AML2, CBFA3, PEBP2aC",RUNX family transcription factor 3,"runt-related transcription factor 3|CBF-alpha-3|PEA2 alpha C|PEBP2 alpha C|SL3-3 enhancer factor 1 alpha C subunit|SL3/AKV core-binding factor alpha C subunit|acute myeloid leukemia 2 protein|acute myeloid leukemia gene 2|core-binding factor subunit alpha-3|core-binding factor, runt domain, alpha subunit 3|oncogene AML-2|polyomavirus enhancer-binding protein 2 alpha C subunit|runt related transcription factor 3|transcription factor AML2",1p36.11,1,NC_000001.11,24899511,24965158,minus,7,600210
9606,Homo sapiens,7052,0,live,TGM2,"TG(C), TGC",transglutaminase 2,"protein-glutamine gamma-glutamyltransferase 2|C polypeptide, protein-glutamine-gamma-glutamyltransferase|TGase C|TGase H|TGase-2|tissue transglutaminase|transglutaminase C|transglutaminase H",20q11.23,20,NC_000020.11,38127385,38166508,minus,14,190196
9606,Homo sapiens,8809,0,live,IL18R1,"CD218a, CDw218a, IL-18R-alpha, IL-18Ralpha, IL-1Rrp, IL18RA, IL18Ralpha2, IL1RRP",interleukin 18 receptor 1,interleukin-18 receptor 1|CD218 antigen-like family member A|IL1 receptor-related protein|cytokine receptor|interleukin-18 receptor alpha,2q12.1,2,NC_000002.12,102355796,102398777,plus,13,604494
9606,Homo sapiens,4790,0,live,NFKB1,"CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB",nuclear factor kappa B subunit 1,nuclear factor NF-kappa-B p105 subunit|DNA-binding factor KBF1|nuclear factor NF-kappa-B p50 subunit|nuclear factor kappa-B DNA binding subunit|nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,4q24,4,NC_000004.12,102501266,102617302,plus,27,164011
9606,Homo sapiens,940,0,live,CD28,Tp44,CD28 molecule,T-cell-specific surface glycoprotein CD28,2q33.2,2,NC_000002.12,203706509,203739756,plus,5,186760
9606,Homo sapiens,8651,0,live,SOCS1,"CIS1, CISH1, JAB, SOCS-1, SSI-1, SSI1, TIP-3, TIP3",suppressor of cytokine signaling 1,suppressor of cytokine signaling 1|JAK binding protein|STAT induced SH3 protein 1|STAT-induced STAT inhibitor 1|Tec-interacting protein 3|cytokine-inducible SH2 protein 1,16p13.13,16,NC_000016.10,11254417,11256204,minus,2,603597
9606,Homo sapiens,3091,0,live,HIF1A,"HIF-1-alpha, HIF-1A, HIF-1alpha, HIF1, HIF1-ALPHA, MOP1, PASD8, bHLHe78",hypoxia inducible factor 1 subunit alpha,"hypoxia-inducible factor 1-alpha|ARNT interacting protein|PAS domain-containing protein 8|basic-helix-loop-helix-PAS protein MOP1|class E basic helix-loop-helix protein 78|hypoxia inducible factor 1 alpha subunit|hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)|hypoxia-inducible factor1alpha|member of PAS protein 1|member of PAS superfamily 1",14q23.2,14,NC_000014.9,61695513,61748259,plus,16,603348
9606,Homo sapiens,2113,0,live,ETS1,"ETS-1, EWSR2, c-ets-1, p54","ETS proto-oncogene 1, transcription factor",protein C-ets-1|Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1|v-ets avian erythroblastosis virus E2 oncogene homolog 1|v-ets avian erythroblastosis virus E26 oncogene homolog 1,11q24.3,11,NC_000011.10,128458765,128587593,minus,12,164720
9606,Homo sapiens,51284,0,live,TLR7,"IMD74-like, TLR7",toll like receptor 7,toll-like receptor 7|toll-like receptor 7-like,Xp22.2,X,NC_000023.11,12867072,12890361,plus,3,300365
9606,Homo sapiens,9844,0,live,ELMO1,"CED-12, CED12, ELMO-1",engulfment and cell motility 1,engulfment and cell motility protein 1|ced-12 homolog 1,7p14.2-p14.1,7,NC_000007.14,36852906,37449326,minus,29,606420
9606,Homo sapiens,8807,0,live,IL18RAP,"ACPL, CD218b, CDw218b, IL-18R-beta, IL-18RAcP, IL-18Rbeta, IL-1R-7, IL-1R7, IL-1RAcPL, IL18RB",interleukin 18 receptor accessory protein,interleukin-18 receptor accessory protein|CD218 antigen-like family member B|IL-18 receptor accessory protein|IL-18 receptor beta|cluster of differentiation w218b|interleukin-1 receptor 7|interleukin-18 receptor beta,2q12.1,2,NC_000002.12,102418550,102452568,plus,15,604509
9606,Homo sapiens,3219,0,live,HOXB9,"HOX-2.5, HOX2, HOX2E",homeobox B9,homeobox protein Hox-B9|homeo box 2E|homeo box B9|homeobox protein Hox-2.5|homeobox protein Hox-2E,17q21.32,17,NC_000017.11,48621156,48626358,minus,2,142964
9606,Homo sapiens,3605,0,live,IL17A,"CTLA-8, CTLA8, IL-17, IL-17A, IL17",interleukin 17A,interleukin-17A|cytotoxic T-lymphocyte-associated antigen 8|cytotoxic T-lymphocyte-associated protein 8|interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8),6p12.2,6,NC_000006.12,52186375,52190638,plus,3,603149
9606,Homo sapiens,132612,0,live,ADAD1,Tenr,adenosine deaminase domain containing 1,adenosine deaminase domain-containing protein 1|adenosine deaminase domain containing 1 (testis-specific)|testis nuclear RNA-binding protein|testis tissue sperm-binding protein Li 92mP,4q27,4,NC_000004.12,122378971,122429815,plus,14,614130
9606,Homo sapiens,9370,0,live,ADIPOQ,"ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28","adiponectin, C1Q and collagen domain containing",adiponectin|30 kDa adipocyte complement-related protein|adipocyte complement-related 30 kDa protein|adipose most abundant gene transcript 1 protein|adipose specific collagen-like factor|gelatin-binding protein 28,3q27.3,3,NC_000003.12,186842710,186858463,plus,4,605441
9606,Homo sapiens,627,0,live,BDNF,"ANON2, BULN2",brain derived neurotrophic factor,brain-derived neurotrophic factor|abrineurin|neurotrophin,11p14.1,11,NC_000011.10,27654893,27722030,minus,12,113505
9606,Homo sapiens,7421,0,live,VDR,"NR1I1, PPP1R163",vitamin D receptor,"vitamin D3 receptor|1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D (1,25- dihydroxyvitamin D3) receptor|vitamin D nuclear receptor variant 1",12q13.11,12,NC_000012.12,47841537,47905022,minus,12,601769
9606,Homo sapiens,3553,0,live,IL1B,"IL-1, IL1-BETA, IL1F2, IL1beta",interleukin 1 beta,interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta,2q14.1,2,NC_000002.12,112829751,112836843,minus,7,147720
9606,Homo sapiens,4650,0,live,MYO9B,"CELIAC4, MYR5",myosin IXB,unconventional myosin-IXb|myosin-IXb|unconventional myosin-9b,19p13.11,19,NC_000019.10,17075777,17213286,plus,40,602129
9606,Homo sapiens,5996,0,live,RGS1,"1R20, BL34, HEL-S-87, IER1, IR20",regulator of G protein signaling 1,"regulator of G-protein signaling 1|B-cell activation protein BL34|early response protein 1R20|epididymis secretory protein Li 87|immediate-early response 1, B-cell specific|regulator of G-protein signalling 1",1q31.2,1,NC_000001.11,192575773,192580024,plus,5,600323
9606,Homo sapiens,6885,0,live,MAP3K7,"CSCF, FMD2, MEKK7, TAK1, TGF1a",mitogen-activated protein kinase kinase kinase 7,mitogen-activated protein kinase kinase kinase 7|TGF-beta activated kinase 1|transforming growth factor-beta-activated kinase 1,6q15,6,NC_000006.12,90513579,90587072,minus,17,602614
9606,Homo sapiens,1080,0,live,CFTR,"ABC35, ABCC7, CF/MRP, MRP7, TNR-CFTR, dJ760C5.1, CFTR",CF transmembrane conductance regulator,"cystic fibrosis transmembrane conductance regulator|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulating|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",7q31.2,7,NC_000007.14,117480025,117668665,plus,27,602421
9606,Homo sapiens,3576,0,live,CXCL8,"GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8",C-X-C motif chemokine ligand 8,"interleukin-8|T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|chemokine (C-X-C motif) ligand 8|emoctakin|granulocyte chemotactic protein 1|interleukin 8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1",4q13.3,4,NC_000004.12,73740569,73743716,plus,3,146930
9606,Homo sapiens,7054,0,live,TH,"DYT14, DYT5b, TYH",tyrosine hydroxylase,tyrosine 3-monooxygenase|dystonia 14|tyrosine 3-hydroxylase,11p15.5,11,NC_000011.10,2163929,2174081,minus,14,191290
